No,comment_link,Is the repository a software project?,Does the source code comment relate to vulnerability?,What purpose does the vulnerability keyword in code comment serve?,Is the vulnerability-related code source code or test code?,Where is the actual vulnerability with relation to the comment?,,,,,,,,,,,,,,,,,,,
34,https://github.com/jq153387/THS/blob/a25b0a3bb23584f2c7cdaa687840dc4975231ae7/administrator/components/com_akeeba/BackupEngine/Dump/Native/Mysql.php#L1561,404,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
35,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/windows/webapps/36580.rb#L2,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
36,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/linux/local/9543.c#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
37,https://github.com/faux123/mako/blob/34393f08b93cef4da6fce7b79014e644ec547977/net/core/flow_dissector.c#L39,Yes,Yes,Warning,Source code,Multiple,,,,,,,,,,,,,,,,,,,
38,https://github.com/apache/uima-ducc/blob/ffb4870d9db87b1580bd6053fc9eed622e4c8e9e/uima-ducc-common/src/main/java/org/apache/uima/ducc/common/utils/JdkEvaluator.java#L21,Yes,Yes,Workaround,Source code,Multiple,,,,,,,,,,,,,,,,,,,
39,https://github.com/Netflix/security_monkey/blob/b50731dde0a3c2deb9b829bbb71247afd1c019dd/security_monkey/auditors/elb.py#L371,Yes,Yes,Keyword-only,Source code,Multiple,,,,,,,,,,,,,,,,,,,
40,https://github.com/rhomobile/rhodes/blob/ed1c29a7c81771d80fc148221c0be31746c7a47c/platform/shared/curl/lib/vtls/vtls.c#L126,Yes,Yes,Workaround,Source code,Single,,,,,,,,,,,,,,,,,,,
41,https://github.com/sipwise/kamailio/blob/f21aa1387286b7a66a7b63ea2a72b369b41bafae/src/modules/tls/tls_server.c#L1169,Yes,Yes,Workaround,Source code,Multiple,,,,,,,,,,,,,,,,,,,
42,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/windows/webapps/43934.py#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
43,https://github.com/caskdata/coopr-provisioner/blob/248f00faaf8e8c9d7c731df9608df4ef8ca7421c/lib/provisioner/worker/plugins/automators/chef_solo_automator/resources/cookbooks/ntp/attributes/default.rb#L82,Yes,Yes,Warning,Source code,Single,,,,,,,,,,,,,,,,,,,
44,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/hardware/remote/39568.py#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
45,https://github.com/krb5/krb5/blob/5ccfbaf2f0c8871d2f0ea87ad4b21cc33392ca2c/src/tests/t_cve-2012-1014.py#L7,Yes,Yes,Source code context,Source code,Multiple,,,,,,,,,,,,,,,,,,,
46,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/java/webapps/37110.py#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
47,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/linux/dos/46177.py#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
48,https://github.com/apache/httpd/blob/7629677ce75443110d1ffc54f158fd285ae7047c/modules/ssl/ssl_private.h#L522,Yes,Yes,Workaround,Source code,Multiple,,,,,,,,,,,,,,,,,,,
49,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/php/webapps/43056.py#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
50,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/multiple/dos/44154.py#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
51,https://github.com/linagora/OBM/blob/60721e8ca2ee0d90870198e6d6ba70ba8196be1a/ui/php/webmail/program/lib/washtml.php#L30,Yes,Yes,Warning,Source code,Multiple,,,,,,,,,,,,,,,,,,,
52,https://github.com/rapid7/metasploit-framework/blob/8ceefce8bf2bbbd74cbca678226e448bc2785575/modules/exploits/multi/http/joomla_http_header_rce.rb#L84,Yes,Yes,Source code context,Source code,Multiple,,,,,,,,,,,,,,,,,,,
53,https://github.com/CoreSecurity/impacket/blob/194b22ed2fc85c4f241375fb7ebe4e0d89626c8c/examples/smbrelayx.py#L1,Yes,Yes,Workaround,Source code,Multiple,,,,,,,,,,,,,,,,,,,
54,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/linux/local/45516.c#L248,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
55,https://github.com/rapid7/metasploit-framework/blob/8ceefce8bf2bbbd74cbca678226e448bc2785575/data/exploits/cve-2012-0217/sysret.c#L1,Yes,No,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
56,https://github.com/rapid7/metasploit-framework/blob/8ceefce8bf2bbbd74cbca678226e448bc2785575/modules/exploits/multi/http/oracle_reports_rce.rb#L41,Yes,No,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
57,https://github.com/GrahamDumpleton/mod_wsgi/blob/0384365b183a221e1805dd4ae80cb410f46fb226/src/server/mod_wsgi.c#L12626,Yes,Yes,Warning,Source code,Multiple,,,,,,,,,,,,,,,,,,,
58,https://github.com/rapid7/metasploit-framework/blob/8ceefce8bf2bbbd74cbca678226e448bc2785575/modules/exploits/multi/http/rails_dynamic_render_code_exec.rb#L43,Yes,No,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
59,https://github.com/tklengyel/xen/blob/b4ac4bc410222d221dc46a74ac71efaa7b32d57c/tools/libxc/include/xc_dom.h#L292,Yes,Yes,see/see-also,Source code,Multiple,,,,,,,,,,,,,,,,,,,
60,https://github.com/linux-test-project/ltp/blob/06994ec6b207412cf1189dccd87ccda9b889f7cb/testcases/cve/cve-2014-0196.c#L18,Yes,Yes,Source code context,Test code,Multiple,,,,,,,,,,,,,,,,,,,
61,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/windows_x86/local/37732.c#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
62,https://github.com/offensive-security/exploit-database-bin-sploits/blob/504d42b5b0b2c638fe6606120ecfa4d4fccad49b/bin-sploits/24463.py#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
63,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/linux/local/31346.c#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
64,https://github.com/networkupstools/nut/blob/0a76990b198fb77474f0b6dfb7c9f97ed8a8b88e/common/parseconf.c#L175,Yes,Yes,Warning,Source code,Multiple,,,,,,,,,,,,,,,,,,,
65,https://github.com/cloudera/hue/blob/9f064b7ce49f550b7a1faba9567491db17bd5cec/desktop/core/ext-py/pycrypto-2.6.1/lib/Crypto/Random/_UserFriendlyRNG.py#L101,Yes,Yes,Workaround,Source code,Single,,,,,,,,,,,,,,,,,,,
66,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/windows/webapps/21546.py#L3,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
67,https://github.com/buffer/thug/blob/15598c73400f607bb6abf3b29fa7d64134c58a39/thug/ActiveX/modules/OurgameGLWorld.py#L1,Yes,No,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
68,https://github.com/proftpd/proftpd/blob/cfa5521fd538b0565cc7d591dd2b9fdbc975cbf4/contrib/mod_tls.c#L7599,Yes,Yes,Warning,Source code,Single,,,,,,,,,,,,,,,,,,,
69,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/linux/remote/40920.py#L5,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
70,https://github.com/rowanpang/noteGit/blob/814cd18b73b5ef5afce1a4b455e45c0ee8e168a1/security/hole/rootHack/pkexeRace-CVE-2011-1485/zx2c4.c#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
71,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/linux/remote/42060.py#L418,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
72,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/linux/dos/18378.c#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
73,https://github.com/RTEMS/rtems-libbsd/blob/c6261f97870562d4c797cfb1ff1ba0affb85a916/ipsec-tools/src/racoon/isakmp_frag.c#L195,Yes,Yes,Workaround,Source code,Single,,,,,,,,,,,,,,,,,,,
74,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/windows/local/44477.py#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
75,https://github.com/Proxmark/proxmark3/blob/a8561e356bd39b45e7ba4ae66e9ed6233b66a356/client/emv/emv_roca.c#L1,Yes,No,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
76,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/multiple/dos/20705.py#L100,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
77,https://github.com/gunet/openeclass/blob/83cbeabaf052e252d0d5c90044940f1b223f1b87/include/securimage/securimage.php#L47,Yes,No,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
78,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/php/webapps/44560.py#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
79,https://github.com/rapid7/metasploit-framework/blob/8ceefce8bf2bbbd74cbca678226e448bc2785575/data/exploits/cve-2017-1000112/exploit.c#L1,Yes,Yes,Source code context,Source code,Multiple,,,,,,,,,,,,,,,,,,,
80,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/linux/local/7618.c#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
81,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/windows/remote/44376.py#L3,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
82,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/php/webapps/40986.py#L34,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
83,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/windows_x86/remote/45220.py#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
84,https://github.com/harbour/core/blob/edbafd4e1dad68784566dbbd48c9068ba772bf63/contrib/hbssl/ssl.c#L871,Yes,Yes,see/see-also,Source code,Single,,,,,,,,,,,,,,,,,,,
85,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/linux_x86-64/local/33516.c#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
86,https://github.com/Internet2/grouper/blob/ebebd0dcc06f479821f389646222109c165fca4d/grouper-ws/grouper-ws/src/grouper-ws/edu/internet2/middleware/grouper/ws/rest/contentType/WsRestResponseContentType.java#L250,Yes,Yes,Workaround,Source code,Single,,,,,,,,,,,,,,,,,,,
87,https://github.com/linux-test-project/ltp/blob/06994ec6b207412cf1189dccd87ccda9b889f7cb/testcases/kernel/syscalls/gethostbyname_r/gethostbyname_r01.c#L16,Yes,Yes,see/see-also,Test code,Multiple,,,,,,,,,,,,,,,,,,,
88,https://github.com/NetworkManager/NetworkManager/blob/0e7a5c73247920550665fee4cbc8db1bc10e1c5d/src/platform/nm-platform.c#L448,Yes,Yes,Workaround,Source code,Multiple,,,,,,,,,,,,,,,,,,,
89,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/hardware/webapps/30062.py#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
90,https://github.com/rapid7/metasploit-framework/blob/8ceefce8bf2bbbd74cbca678226e448bc2785575/lib/msf/core/encoder.rb#L109,Yes,Yes,Workaround,Source code,Single,,,,,,,,,,,,,,,,,,,
91,https://github.com/tomato42/tlsfuzzer/blob/9cc886e477ac340033e0c265b66c886363c9145e/scripts/test-encrypt-then-mac-renegotiation.py#L1,Yes,No,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
92,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/windows/local/46657.py#L3,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
93,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/multiple/remote/33081.cpp#L15,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
94,https://github.com/uberspot/dotfiles/blob/e26397c5a78c227f5e5ab5910fc27f7bfcb74f6a/.mozilla/firefox/customchanges/user.js#L308,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
95,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/hardware/webapps/46262.py#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
96,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/hardware/remote/43871.py#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
97,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/hardware/webapps/39739.py#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
98,https://github.com/awifi-dev/android_kernel_lge_awifi/blob/f9122ae22f4007529177e59e3d76af49801f983e/net/l2tp/l2tp_ppp.c#L1351,Yes,Yes,Workaround,Source code,Single,,,,,,,,,,,,,,,,,,,
99,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/linux_mips/remote/27133.py#L53,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
100,https://github.com/OP-TEE/optee_os/blob/13e224aa32b2a6d928b6b2b5837753e1e966749c/core/arch/arm/include/smccc.h#L29,Yes,Yes,Workaround,Source code,Single,,,,,,,,,,,,,,,,,,,
101,https://github.com/rapid7/metasploit-framework/blob/8ceefce8bf2bbbd74cbca678226e448bc2785575/modules/exploits/linux/http/apache_couchdb_cmd_exec.rb#L114,Yes,Yes,Workaround,Source code,Multiple,,,,,,,,,,,,,,,,,,,
102,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/android/dos/39801.c#L33,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
103,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/windows/remote/31737.rb#L42,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
104,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/php/webapps/44515.py#L4,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
105,https://github.com/apache/derby/blob/c4413121038113efde36e8717f827a5b825bd572/java/org.apache.derby.tests/org/apache/derbyTesting/functionTests/tests/derbynet/NetworkServerControlApiTest.java#L213,Yes,Yes,Workaround,Test code,Multiple,,,,,,,,,,,,,,,,,,,
106,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/multiple/dos/5191.c#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
107,https://github.com/google/certificate-transparency/blob/66f725f57c5cfd3a780b1e16504d9c0946769d63/python/ct/crypto/cert_test.py#L60,Yes,Yes,Workaround,Source code,Single,,,,,,,,,,,,,,,,,,,
108,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/multiple/remote/24321.rb#L40,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
109,https://github.com/rapid7/metasploit-framework/blob/8ceefce8bf2bbbd74cbca678226e448bc2785575/data/exploits/CVE-2015-1130/exploit.py#L1,Yes,No,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
110,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/multiple/dos/20705.py#L112,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
111,https://github.com/ps2dev/ps2sdk/blob/e2afe928fcf97babfa12917e54cfb48db261e914/common/tcpip/lwip-2.0.0/src/core/tcp_in.c#L706,Yes,Yes,Workaround,Source code,Single,,,,,,,,,,,,,,,,,,,
112,https://github.com/bitlbee/bitlbee/blob/e979b0f3ed6aee99debe6e1ce1038da7c6d57920/lib/ssl_gnutls.c#L203,Yes,Yes,see/see-also,Source code,Single,,,,,,,,,,,,,,,,,,,
113,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/hardware/remote/43383.py#L197,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
114,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/macos/dos/45647.c#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
115,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/linux/local/40688.rb#L54,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
116,https://github.com/GrahamDumpleton/mod_wsgi/blob/0384365b183a221e1805dd4ae80cb410f46fb226/src/server/mod_wsgi.c#L12670,Yes,Yes,Warning,Source code,Multiple,,,,,,,,,,,,,,,,,,,
117,https://github.com/buffer/thug/blob/15598c73400f607bb6abf3b29fa7d64134c58a39/thug/ActiveX/modules/RealPlayer.py#L1,Yes,No,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
118,https://github.com/nodejs/node/blob/09cdc3782488d2e6db09baf75b0dfa1f68e5dc4f/test/parallel/test-buffer-write.js#L85,Yes,Yes,Warning,Test code,Single,,,,,,,,,,,,,,,,,,,
119,https://github.com/danmar/cppcheck/blob/7799ed4243835fbb8b0d0d66a26dee11b065d1d2/cve-test-suite/cve-2018-5334.c#L2,Yes,No,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
120,https://github.com/SeqWare/seqware/blob/bab036957ee7182a5932a0716fcc16ebe3f09bc7/seqware-common/src/main/java/io/seqware/util/XMLChar.java#L3,Yes,Yes,Workaround,Source code,Multiple,,,,,,,,,,,,,,,,,,,
121,https://github.com/offensive-security/exploit-database/blob/ab955a9b5d382ebef8351a0a7fd80edcf03870b4/exploits/linux/local/42887.c#L1,No,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,,,,,,
